word, synset, definition
estimation, estimate.n.01, an approximate calculation of quantity or degree or worth
haven, seaport.n.01, a sheltered port where ships can take on or discharge cargo
finder, finder.n.02, someone who is the first to observe something
hand, hand.n.06, the cards held in a card game by a given player at any given time
proximity, proximity.n.01, the property of being close together
team, team.n.01, a cooperative unit (especially in sports)
truman, truman.n.01, elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972)
yorkshire, yorkshire.n.01, a former large county in northern England; in 1974 it was divided into three smaller counties
grace, grace.n.06, a short prayer of thanks before a meal
wagner, wagner.n.01, Austrian architect and pioneer of modern architecture (1841-1918)
sally, wisecrack.n.01, witty remark
detention, detention.n.01, a state of being confined (usually for a short time)
abbreviation, abbreviation.n.01, a shortened form of a word or phrase
archer, archer.n.01, a person who is expert in the use of a bow and arrow
pace, pace.n.03, the relative speed of progress or change
lien, spleen.n.01, a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses
bridget, bridget.n.01, Irish abbess; a patron saint of Ireland (453-523)
serbian, serbian.n.01, a member of a Slavic people who settled in Serbia and neighboring areas in the 6th and 7th centuries
hamlet, village.n.02, a settlement smaller than a town
oregon, oregon.n.01, a state in northwestern United States on the Pacific
autonomy, autonomy.n.02, personal independence
marshall, marshal.n.02, (in some countries) a military officer of highest rank
realm, kingdom.n.01, a domain in which something is dominant
trade, deal.n.01, a particular instance of buying or selling
eritrea, eritrea.n.01, an African country to the north of Ethiopia on the Red Sea; achieved independence from Ethiopia in 1993
greensboro, greensboro.n.01, a city of north central North Carolina
soy, soy.n.02, erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia
concordance, harmony.n.03, a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
norman, norman.n.01, United States operatic soprano (born in 1945)
russian, russian.n.01, a native or inhabitant of Russia
palette, palette.n.01, the range of colour characteristic of a particular artist or painting or school of art
induction, trigger.n.03, an act that sets in motion some course of events
mailman, mailman.n.01, a man who delivers the mail
modulation, transition.n.04, a musical passage moving from one key to another
unit, whole.n.02, an assemblage of parts that is regarded as a single entity
idiot, idiot.n.01, a person of subnormal intelligence
effect, consequence.n.01, a phenomenon that follows and is caused by some previous phenomenon
survival, survival.n.02, a natural process resulting in the evolution of organisms best adapted to the environment
aurora, dawn.n.01, the first light of day
bargain, bargain.n.02, an advantageous purchase
rise, ascent.n.01, an upward slope or grade (as in a road)
tehran, teheran.n.01, the capital and largest city of Iran; located in northern Iran
ghetto, ghetto.n.01, formerly the restricted quarter of many European cities in which Jews were required to live
johannesburg, johannesburg.n.01, city in the northeastern part of South Africa near Pretoria; commercial center for diamond and gold industries
chop, chop.n.05, a grounder that bounces high in the air
daniel, daniel.n.01, (Old Testament) a youth who was taken into the court of Nebuchadnezzar and given divine protection when thrown into a den of lions (6th century BC)
beijing, beijing.n.01, capital of the People's Republic of China in the Hebei province in northeastern China; 2nd largest Chinese city
bruin, bruin.n.01, a conventional name for a bear used in tales following usage in the old epic `Reynard the Fox'
fuse, fuse.n.02, any igniter that is used to initiate the burning of a propellant
aggregation, collection.n.04, the act of gathering something together
equine, equine.n.01, hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck
bond, alliance.n.02, a connection based on kinship or marriage or common interest
ab, bachelor_of_arts.n.01, a bachelor's degree in arts and sciences
clearance, headroom.n.01, vertical space available to allow easy passage under something
pap, nipple.n.01, the small projection of a mammary gland
elegance, elegance.n.01, a refined quality of gracefulness and good taste
weather, weather.n.01, the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
network, net.n.06, an open fabric of string or rope or wire woven together at regular intervals
sion, israel.n.01, Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine
rival, rival.n.01, the contestant you hope to defeat
art, artwork.n.01, photographs or other visual representations in a printed publication
lung, lung.n.01, either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
disposal, administration.n.01, a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
schmidt, schmidt.n.01, German statesman who served as chancellor of Germany (born in 1918)
postcode, zip_code.n.01, a code of letters and digits added to a postal address to aid in the sorting of mail
freeway, expressway.n.01, a broad highway designed for high-speed traffic
mayhem, havoc.n.01, violent and needless disturbance
range, scope.n.01, an area in which something acts or operates or has power or control:
rollover, rollover.n.01, the act of changing the institution that invests your pension plan without incurring a tax penalty
planning, planning.n.03, the cognitive process of thinking about what you will do in the event of something happening
questionnaire, questionnaire.n.01, a form containing a set of questions; submitted to people to gain statistical information
swansea, swansea.n.01, a port city in southern Wales on an inlet of the Bristol Channel
anthology, anthology.n.01, a collection of selected literary passages
puff, puff.n.07, a slow inhalation (as of tobacco smoke)
delphi, delphi.n.01, an ancient Greek city on the slopes of Mount Parnassus; site of the oracle of Delphi
spectra, spectrum.n.01, an ordered array of the components of an emission or wave
hug, hug.n.01, a tight or amorous embrace
expertise, expertness.n.01, skillfulness by virtue of possessing special knowledge
insertion, insertion.n.02, the act of putting one thing into another
advocate, advocate.n.02, a lawyer who pleads cases in court
isaac, isaac.n.01, (Old Testament) the second patriarch; son of Abraham and Sarah who was offered by Abraham as a sacrifice to God; father of Jacob and Esau
morgan, morgan.n.01, United States anthropologist who studied the Seneca (1818-1881)
terry, terry.n.02, a pile fabric (usually cotton) with uncut loops on both sides; used to make bath towels and bath robes
stephen, stephen.n.01, English writer (1832-1904)
tickling, tickle.n.02, the act of tickling
pale, picket.n.05, a wooden strip forming part of a fence
garland, wreath.n.01, flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes
lesion, wound.n.01, an injury to living tissue (especially an injury involving a cut or break in the skin)
brooklyn, brooklyn.n.01, a borough of New York City
revocation, revocation.n.01, the state of being cancelled or annulled
noon, noon.n.01, the middle of the day
mitigation, moderation.n.04, the action of lessening in severity or intensity
colour, color.n.01, a visual attribute of things that results from the light they emit or transmit or reflect
addiction, addiction.n.01, being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
engagement, battle.n.01, a hostile meeting of opposing military forces in the course of a war
tcp, transmission_control_protocol.n.01, a protocol developed for the internet to get data from one network device to another
devotion, idolatry.n.01, religious zeal; the willingness to serve God
moderator, moderator.n.01, any substance used to slow down neutrons in nuclear reactors
sb, bachelor_of_science.n.01, a bachelor's degree in science
booster, supporter.n.01, a person who backs a politician or a team etc.
drift, drift.n.05, a general tendency to change (as of opinion)
marble, marble.n.01, a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
frost, freeze.n.02, weather cold enough to cause freezing
finance, finance.n.01, the commercial activity of providing funds and capital
information, data.n.01, a collection of facts from which conclusions may be drawn
lubbock, lubbock.n.01, a city in northwest Texas to the south of Amarillo
tone, spirit.n.02, the general atmosphere of a place or situation and the effect that it has on people
conflict, battle.n.01, a hostile meeting of opposing military forces in the course of a war
cement, cementum.n.01, a specialized bony substance covering the root of a tooth
ditch, ditch.n.01, a long narrow excavation in the earth
classmate, schoolmate.n.01, an acquaintance that you go to school with
smile, smile.n.01, a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
raleigh, raleigh.n.01, English courtier (a favorite of Elizabeth I) who tried to colonize Virginia; introduced potatoes and tobacco to England (1552-1618)
springfield, springfield.n.01, capital of the state of Illinois
exposure, photograph.n.01, a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
adherence, adhesiveness.n.01, the property of sticking together (as of glue and wood) or the joining of surfaces of different composition
reservation, reservation.n.01, a district that is reserved for particular purpose
glitter, glitter.n.01, the quality of shining with a bright reflected light
gabriel, gabriel.n.01, (Bible) the archangel who was the messenger of God
attacker, attacker.n.01, someone who attacks
cola, cola.n.02, carbonated drink flavored with extract from kola nuts (`dope' is a southernism in the United States)
slate, slate.n.04, a list of candidates nominated by a political party to run for election to public offices
steiner, steiner.n.01, Austrian philosopher who founded anthroposophy (1861-1925)
massacre, slaughter.n.03, the savage and excessive killing of many people
lund, lund.n.01, a city in southern Sweden
contracting, catching.n.03, becoming infected
dior, dior.n.01, French couturier whose first collection in 1947 created a style that became known as the New Look (1905-1957)
gene, gene.n.01, (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
appearance, appearance.n.06, pretending that something is the case in order to make a good impression
anaheim, anaheim.n.01, a city in southern California (southeast of Los Angeles); site of Disneyland
doppler, doppler.n.01, Austrian physicist famous for his discovery of the Doppler effect (1803-1853)
white, flannel.n.03, (usually in the plural) trousers made of flannel or gabardine or tweed or white cloth
foster, foster.n.01, United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
switch, switch.n.07, the act of changing one thing or position for another
blowjob, cock_sucking.n.01, slang for fellatio
saskatoon, saskatoon.n.02, edible purple or red berries
dig, shot.n.09, an aggressive remark directed at a person like a missile and intended to have a telling effect
custody, detention.n.01, a state of being confined (usually for a short time)
dip, drop.n.03, a sudden sharp decrease in some quantity
alert, alarm.n.03, an automatic signal (usually a sound) warning of danger
evolution, development.n.02, a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
lawrence, lawrence.n.01, Roman martyr; supposedly Lawrence was ordered by the police to give up the church's treasure and when he responded by presenting the poor people of Rome he was roasted to death on a gridiron (died in 258)
prozac, fluoxetine.n.01, a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant (trade names Prozac or Sarafem); it is thought to work by increasing the activity of serotonin in the brain
quake, earthquake.n.01, shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
drunk, drunkard.n.01, a chronic drinker
emirate, emirate.n.01, the domain controlled by an emir
zurich, zurich.n.01, the largest city in Switzerland; located in the northern part of the country
volt, volt.n.01, a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
collaboration, collaboration.n.01, act of working jointly
collateral, collateral.n.01, a security pledged for the repayment of a loan
dab, tap.n.08, a light touch or stroke
county, county.n.01, (United Kingdom) a region created by territorial division for the purpose of local government
elf, elf.n.01, (folklore) fairies that are somewhat mischievous
muhammad, mohammed.n.01, the Arab prophet who, according to Islam, was the last messenger of Allah (570-632)
lightweight, whippersnapper.n.01, someone who is unimportant but cheeky and presumptuous
tsunami, tsunami.n.01, a cataclysm resulting from a destructive sea wave caused by an earthquake or volcanic eruption
residency, residency.n.01, the act of dwelling in a place
infinity, eternity.n.01, time without end
yang, yang.n.01, the bright positive masculine principle in Chinese dualistic cosmology
booking, engagement.n.05, employment for performers or performing groups that lasts for a limited period of time
trigger, trigger.n.03, an act that sets in motion some course of events
serenity, peace.n.03, the absence of mental stress or anxiety
rubbish, folderol.n.01, nonsensical talk or writing
roc, roc.n.01, mythical bird of prey having enormous size and strength
heavyweight, giant.n.04, a very large person; impressive in size or qualities
strip, strip.n.02, artifact consisting of a narrow flat piece of material
victor, victor.n.01, a combatant who is able to defeat rivals
servant, servant.n.01, a person working in the service of another (especially in the household)
rank, membership.n.01, the body of members of an organization or group
disciple, disciple.n.01, someone who believes and helps to spread the doctrine of another
stroke, stroke.n.01, (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
hahn, hahn.n.01, German chemist who was co-discoverer with Lise Meitner of nuclear fission (1879-1968)
tara, tara.n.01, a village in eastern Ireland (northwest of Dublin); seat of Irish kings until 6th century
praise, praise.n.01, an expression of approval and commendation
geography, geography.n.01, study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
fighter, champion.n.02, someone who fights for a cause
neoplasm, tumor.n.01, an abnormal new mass of tissue that serves no purpose
picasso, picasso.n.01, prolific and influential Spanish artist who lived in France (1881-1973)
herald, harbinger.n.01, something that precedes and indicates the approach of something or someone
tech, technical_school.n.01, a school teaching mechanical and industrial arts and the applied sciences
aire, aire.n.01, a river in northern England that flows southeast through West Yorkshire
voodoo, juju.n.02, a charm superstitiously believed to embody magical powers
ad, ad.n.01, a public promotion of some product or service
finale, stopping_point.n.01, the temporal end; the concluding time
smoker, smoker.n.01, a person who smokes tobacco
warmer, heater.n.01, device that heats water or supplies warmth to a room
dylan, dylan.n.01, United States songwriter noted for his protest songs (born in 1941)
taliban, taliban.n.01, a fundamentalist Islamic militia; in 1995 the Taliban militia took over Afghanistan and in 1996 took Kabul and set up an Islamic government
poisoning, poisoning.n.01, the physiological state produced by a poison or other toxic substance
julian, julian.n.01, Roman Emperor and nephew of Constantine; he restored paganism as the official religion of the Roman Empire and destroyed Christian temples but his decision was reversed after his death (331?-363)
nude, nude.n.01, a painting of a naked human figure
pastor, curate.n.01, a person authorized to conduct religious worship
byron, byron.n.01, English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824)
champaign, plain.n.01, extensive tract of level open land
titan, colossus.n.02, a person of exceptional importance and reputation
cfo, chief_financial_officer.n.01, the corporate executive having financial authority to make appropriations and authorize expenditures for a firm
frame, human_body.n.01, alternative names for the body of a human being
tanning, whipping.n.01, beating with a whip or strap or rope as a form of punishment
lane, lane.n.01, a narrow way or road
surveillance, surveillance.n.01, close observation of a person or group (usually by the police)
bridgeport, bridgeport.n.01, a port in southwestern Connecticut on Long Island Sound
member, penis.n.01, the male organ of copulation (`member' is a euphemism)
nightclub, cabaret.n.01, a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
therapy, therapy.n.01, (medicine) the act of caring for someone (as by medication or remedial training etc.)
foil, foil.n.04, picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector
gin, snare.n.05, a trap for birds or small mammals; often has a slip noose
schedule, agenda.n.01, a temporally organized plan for matters to be attended to
counterpart, counterpart.n.02, a duplicate copy
morning, dawn.n.01, the first light of day
overhaul, overhaul.n.01, periodic maintenance on a car or machine
aladdin, aladdin.n.01, in the Arabian Nights a boy who acquires a magic lamp from which he can summon a genie
fayetteville, fayetteville.n.01, a town in central West Virginia on the New River
marriage, marriage.n.01, the state of being a married couple voluntarily joined for life (or until divorce)
alumni, alumnus.n.01, a person who has received a degree from a school (high school or college or university)
beech, beech.n.02, wood of any of various beech trees; used for flooring and containers and plywood and tool handles
briefing, briefing.n.01, detailed instructions, as for a military operation
lymphoma, lymphoma.n.01, a neoplasm of lymph tissue that is usually malignant; one of the four major types of cancer
sheraton, sheraton.n.01, a furniture style that originated in England around 1800; simple in design with straight lines and classical ornamentation
indian, amerind.n.01, any of the languages spoken by Amerindians
slash, cut.n.05, a wound made by cutting
mineral, mineral.n.01, solid homogeneous inorganic substances occurring in nature having a definite chemical composition
waste, barren.n.01, an uninhabited wilderness that is worthless for cultivation
newcomer, newcomer.n.01, any new participant in some activity
milwaukee, milwaukee.n.01, largest city of Wisconsin; located in southeastern Wisconsin on the western shore of Lake Michigan; a flourishing agricultural center known for its breweries
redemption, redemption.n.01, (theology) the act of delivering from sin or saving from evil
mirage, mirage.n.01, an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
ulster, ulster.n.01, a historic division of Ireland located in the northeastern part of the island; six of Ulster's nine counties are in Northern Ireland
france, france.n.01, a republic in western Europe; the largest country wholly in Europe
huron, lake_huron.n.01, the 2nd largest of the Great Lakes
rus, ruthenium.n.01, a rare polyvalent metallic element of the platinum group; it is found associated with platinum
pro, professional.n.02, an athlete who plays for pay
trajectory, trajectory.n.01, the path followed by an object moving through space
cooperation, cooperation.n.01, joint operation or action
distance, distance.n.05, the interval between two times
vioxx, rofecoxib.n.01, a Cox-2 inhibitor (trade name Vioxx) that relieves pain and inflammation without harming the digestive tract; voluntarily withdrawn from the market in 2004
acclaim, acclaim.n.01, enthusiastic approval
reactor, reactor.n.01, an electrical device used to introduce reactance into a circuit
collision, collision.n.01, (physics) a brief event in which two or more bodies come together
subject, topic.n.02, some situation or event that is thought about
turk, turk.n.01, a native or inhabitant of Turkey
celebrex, celecoxib.n.01, a Cox-2 inhibitor (trade name Celebrex) that relieves pain and inflammation without harming the digestive tract
demonstration, presentation.n.02, a show or display; the act of presenting something to sight or view
hamburg, hamburg.n.01, a port city in northern Germany on the Elbe River that was founded by Charlemagne in the 9th century and is today the largest port in Germany; in 1241 it formed an alliance with Lubeck that became the basis for the Hanseatic League
connection, association.n.04, the process of bringing ideas or events together in memory or imagination
combination, combination.n.07, the act of combining things to form a new whole
bradford, bradford.n.01, United States printer (born in England) whose press produced the first American prayer book and the New York City's first newspaper (1663-1752)
dream, ambition.n.01, a cherished desire
damage, price.n.02, the amount of money needed to purchase something
command, command.n.06, great skillfulness and knowledge of some subject or activity
carton, carton.n.01, the quantity contained in a carton
utility, utility.n.02, the quality of being of practical use
homecoming, return.n.02, a coming to or returning home
pressure, press.n.09, the act of pressing; the exertion of pressure
indiana, indiana.n.01, a state in midwestern United States
luxembourg, luxembourg-ville.n.01, the capital and largest city of Luxembourg
fellow, companion.n.01, a friend who is frequently in the company of another
ceo, chief_executive_officer.n.01, the corporate executive responsible for the operations of the firm; reports to a board of directors; may appoint other managers (including a president)
hop, hop.n.02, twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
norma, norma.n.01, a small constellation in the southern hemisphere near Lupus and Ara in the Milky Way
pep, pep.n.01, liveliness and energy
place, position.n.06, a job in an organization
conversion, conversion.n.01, an event that results in a transformation
reduction, decrease.n.04, the act of decreasing or reducing something
sullivan, sullivan.n.01, United States architect known for his steel framed skyscrapers and for coining the phrase `form follows function' (1856-1924)
electron, electron.n.01, an elementary particle with negative charge
bender, curve.n.03, a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter
extract, excerpt.n.01, a passage selected from a larger work
bush, scrub.n.01, dense vegetation consisting of stunted trees or bushes
clippers, limiter.n.01, (electronics) a nonlinear electronic circuit whose output is limited in amplitude; used to limit the instantaneous amplitude of a waveform (to clip off the peaks of a waveform)
template, template.n.01, a model or standard for making comparisons
roommate, roommate.n.01, an associate who shares a room with you
neglect, negligence.n.01, failure to act with the prudence that a reasonable person would exercise under the same circumstances
stitch, stitch.n.01, a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
incorporation, internalization.n.01, learning (of values or attitudes etc.) that is incorporated within yourself
greenville, greenville.n.01, a town in northwest South Carolina in the Piedmont
ivy, ivy.n.01, Old World vine with lobed evergreen leaves and black berrylike fruits
earth, earth.n.01, the 3rd planet from the sun; the planet we live on
disturbance, disturbance.n.03, a disorderly outburst or tumult
hip, pelvis.n.01, the structure of the vertebrate skeleton supporting the lower limbs in humans and the hind limbs or corresponding parts in other vertebrates
blanc, blanc.n.01, a white sauce of fat, broth, and vegetables (used especially with braised meat)
innovation, initiation.n.02, the act of starting something for the first time; introducing something new
bahrain, bahrain.n.01, an island in the Persian Gulf
confession, confession.n.01, an admission of misdeeds or faults
attachment, attachment.n.04, a connection that fastens things together
sweat, effort.n.02, use of physical or mental energy; hard work
pathfinder, scout.n.04, someone who can find paths through unexplored territory
bowling, bowling.n.01, a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them
gale, gale.n.01, a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
bundle, package.n.01, a collection of things wrapped or boxed together
civilization, culture.n.01, a particular society at a particular time and place
branding, stigmatization.n.01, the act of stigmatizing
sunlight, sunlight.n.01, the rays of the sun
exploration, exploration.n.01, to travel for the purpose of discovery
cereal, grain.n.02, foodstuff prepared from the starchy grains of cereal grasses
ticker, heart.n.02, the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body
motley, assortment.n.01, a collection containing a variety of sorts of things
shock, shock.n.02, the violent interaction of individuals or groups entering into combat
pornography, pornography.n.01, creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
globalization, globalization.n.01, growth to a global or worldwide scale
concierge, concierge.n.01, a French caretaker of apartments or a hotel; lives on the premises and oversees people entering and leaving and handles mail and acts as janitor or porter
enlargement, expansion.n.03, a discussion that provides additional information
jam, crush.n.02, a dense crowd of people
bandwidth, bandwidth.n.01, a data transmission rate; the maximum amount of information (bits/second) that can be transmitted along a channel
tycoon, baron.n.03, a very wealthy or powerful businessman
wei, wei.n.01, any of several imperial dynasties of China ruling from 220 to 265 and from 386 to 556
testosterone, testosterone.n.01, a potent androgenic hormone produced chiefly by the testes; responsible for the development of male secondary sex characteristics
eddy, eddy.n.02, a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
ammo, ammunition.n.01, projectiles to be fired from a gun
ass, arsenic.n.02, a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
basic, basic.n.02, (usually plural) a necessary commodity for which demand is constant
addict, addict.n.01, someone who is so ardently devoted to something that it resembles an addiction
brokerage, brokerage.n.01, a stock broker's business; charges a fee to act as intermediary between buyer and seller
burbank, burbank.n.01, United States horticulturist who developed many new varieties of fruits and vegetables and flowers (1849-1926)
localization, localization.n.01, a determination of the place where something is
iteration, iteration.n.01, (computer science) a single execution of a set of instructions that are to be repeated
torah, torah.n.02, the first of three divisions of the Hebrew Scriptures comprising the first five books of the Hebrew Bible considered as a unit
stance, position.n.12, a rationalized mental attitude
splitter, rail-splitter.n.01, a laborer who splits logs to build split-rail fences
kindergarten, kindergarten.n.01, a preschool for children age 4 to 6 to prepare them for primary school
davenport, davenport.n.01, a city in eastern Iowa on the Mississippi River across from Moline and Rock Island
toxin, toxin.n.01, a poisonous substance produced during the metabolism and growth of certain microorganisms and some higher plant and animal species
precipitation, haste.n.01, overly eager speed (and possible carelessness)
beginner, founder.n.02, a person who founds or establishes some institution
somewhere, somewhere.n.01, an indefinite or unknown location
trial, test.n.05, the act of testing something
roster, roll.n.02, a list of names
corp, corporation.n.01, a business firm whose articles of incorporation have been approved in some state
laser, laser.n.01, an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light
coca, coca.n.02, United States comedienne who starred in early television shows with Sid Caesar (1908-2001)
freelance, freelancer.n.01, a writer or artist who sells services to different employers without a long-term contract with any of them
duff, duff.n.01, a stiff flour pudding steamed or boiled usually and containing e.g. currants and raisins and citron
negative, negative.n.01, a reply of denial
entropy, randomness.n.01, (thermodynamics) a thermodynamic quantity representing the amount of energy in a system that is no longer available for doing mechanical work
maintenance, care.n.06, activity involved in maintaining something in good working order
americana, americana.n.01, any artifact (such as books or furniture or art) that is distinctive of America
boycott, boycott.n.01, a group's refusal to have commercial dealings with some organization in protest against its policies
inconvenience, inconvenience.n.01, an inconvenient discomfort
paste, spread.n.05, a tasty mixture to be spread on bread or crackers or used in preparing other dishes
prize, prize.n.01, something given for victory or superiority in a contest or competition or for winning a lottery
rama, rama.n.01, avatar of Vishnu whose name is synonymous with God; any of three incarnations: Ramachandra or Parashurama or Balarama
weston, weston.n.01, United States photographer(1886-1958)
toulouse, toulouse.n.01, a city on the Garonne River in southern France to the southeast of Bordeaux; a cultural center of medieval Europe
senator, senator.n.01, a member of a senate
wilton, wilton.n.01, a carpet woven on a Jacquard loom with loops like a Brussels carpet but having the loops cut to form a close velvety pile
heat, heat.n.04, the trait of being intensely emotional
dioxide, dioxide.n.01, an oxide containing two atoms of oxygen in the molecule
voter, voter.n.01, a citizen who has a legal right to vote
hire, hire.n.01, a newly hired employee
emoticon, emoticon.n.01, a representation of a facial expression (as a smile or frown) created by typing a sequence of characters in sending email
standardization, calibration.n.01, the act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument
deformation, distortion.n.01, a change for the worse
saudi, saudi.n.01, a native or inhabitant of Saudi Arabia
documentary, documentary.n.01, a film or TV program presenting the facts about a person or event
abatement, suspension.n.04, an interruption in the intensity or amount of something
logan, logan.n.01, a mountain peak in the St. Elias Range in the southwestern Yukon Territory in Canada (19,850 feet high)
liposuction, liposuction.n.01, lipectomy (especially for cosmetic purposes) in which excess fatty tissue is removed from under the skin by suction
pretorium, praetorium.n.01, the tent of an ancient Roman general
grange, grange.n.01, an outlying farm
trench, trench.n.02, a long steep-sided depression in the ocean floor
flick, movie.n.01, a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
gaza, gaza_strip.n.01, a coastal region at the southeastern corner of the Mediterranean bordering Israel and Egypt
veronica, veronica.n.01, any plant of the genus Veronica
nunavut, nunavut.n.01, an Arctic territory in northern Canada created in 1999 and governed solely by the Inuit; includes the eastern part of what was the Northwest Territories and most of the islands of the Arctic Archipelago
aggregator, collector.n.01, a person who collects things
pinnacle, acme.n.01, the highest level or degree attainable; the highest stage of development
sherry, sherry.n.01, dry to sweet amber wine from the Jerez region of southern Spain or similar wines produced elsewhere; usually drunk as an aperitif
flashing, flash.n.03, a short vivid experience
auction, auction.n.02, the public sale of something to the highest bidder
oracle, prophet.n.01, an authoritative person who divines the future
torso, torso.n.01, the body excluding the head and neck and limbs
poem, poem.n.01, a composition written in metrical feet forming rhythmical lines
fletcher, fletcher.n.01, prolific English dramatist who collaborated with Francis Beaumont and many other dramatists (1579-1625)
witch, hag.n.01, an ugly evil-looking old woman
background, background.n.02, the part of a scene (or picture) that lies behind objects in the foreground
israel, israel.n.01, Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine
benin, benin.n.01, a country on western coast of Africa; formerly under French control
tenth, one-tenth.n.01, a tenth part; one part in ten equal parts
ambassador, ambassador.n.01, a diplomat of the highest rank; accredited as representative from one country to another
stakeholder, stakeholder.n.01, someone entrusted to hold the stakes for two or more persons betting against one another; must deliver the stakes to the winner
yosemite, yosemite.n.01, a series of waterfalls in Yosemite National Park in California; is reduced to a trickle for part of each year
christopher, christopher.n.01, Christian martyr and patron saint of travellers (3rd century)
opposition, opposition.n.04, a contestant that you are matched against
delegation, deputation.n.01, a group of representatives or delegates
propaganda, propaganda.n.01, information that is spread for the purpose of promoting some cause
edwin, edwin.n.01, king of Northumbria who was converted to Christianity (585-633)
group, group.n.02, (chemistry) two or more atoms bound together as a single unit and forming part of a molecule
quotation, citation.n.03, a short note recognizing a source of information or of a quoted passage
ledger, ledger.n.01, a record in which commercial accounts are recorded
serif, serif.n.01, a short line at the end of the main strokes of a character
hampton, hampton.n.01, United States musician who was the first to use the vibraphone as a jazz instrument (1913-2002)
accord, agreement.n.03, harmony of people's opinions or actions or characters
risk, risk.n.02, a venture undertaken without regard to possible loss or injury
nsw, naval_special_warfare.n.01, the agency that provides units to conduct unconventional and counter-guerilla warfare
offer, crack.n.09, a usually brief attempt
vodka, vodka.n.01, unaged colorless liquor originating in Russia
diligence, diligence.n.02, persevering determination to perform a task
institution, initiation.n.02, the act of starting something for the first time; introducing something new
durability, lastingness.n.01, permanence by virtue of the power to resist stress or force
albion, albion.n.01, archaic name for England or Great Britain; used poetically
attitude, position.n.04, the arrangement of the body and its limbs
campaign, campaign.n.02, a series of actions advancing a principle or tending toward a particular end
milk, milk.n.01, a white nutritious liquid secreted by mammals and used as food by human beings
mac, macintosh.n.02, a waterproof raincoat made of rubberized fabric
indigo, anil.n.01, a blue dye obtained from plants or made synthetically
rotterdam, rotterdam.n.01, the 2nd largest city in the Netherlands; located in the western Netherlands near the North Sea
variation, version.n.02, something a little different from others of the same type
relativity, relativity.n.01, (physics) the theory that space and time are relative concepts rather than absolute concepts
footage, footage.n.01, film that has been shot
baghdad, baghdad.n.01, capital and largest city of Iraq; located on the Tigris River
skateboard, skateboard.n.01, a board with wheels that is ridden in a standing or crouching position and propelled by foot
cigar, cigar.n.01, a roll of tobacco for smoking
temp, temp.n.01, a worker (especially in an office) hired on a temporary basis
pleasure, joy.n.02, something or someone that provides a source of happiness
